Rank,School,Games,Wins,Losses,Win_Pct,SRS,SOS,Conf_W,Wins,Losses,Column_11,Wins,Losses,Home_L,Wins,Losses,Column_17,Points_For,Points_Against,Points_Dummy,Minutes_Played,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,Season,NCAA_Tournament
1,Air Force,28,8,20,0.286,-5.07,2.58,,4,10,,6,8,,2,10,,1889,2046,,1140,654,1673,0.391,184,590,0.312,397,610,0.651,412.0,1009,336,243,53,408.0,587.0,2000,False
2,Akron,28,17,11,0.607,3.44,1.32,,11,7,,11,3,,6,8,,2126,2009,,,705,1574,0.448,131,406,0.323,585,767,0.763,316.0,981,431,226,89,389.0,505.0,2000,False
3,Alabama,29,13,16,0.448,7.44,7.62,,6,10,,11,3,,0,10,,2094,2099,,,715,1665,0.429,186,540,0.344,478,673,0.71,412.0,1212,312,184,120,,,2000,False
4,Alabama A&M,28,18,10,0.643,-12.27,-12.07,,14,4,,11,2,,6,8,,2126,1984,,1125,764,1929,0.396,168,550,0.305,430,661,0.651,530.0,1196,386,366,99,510.0,548.0,2000,False
5,Alabama State,28,13,15,0.464,-16.56,-12.35,,10,8,,8,6,,5,7,,1867,1932,,1125,648,1551,0.418,144,446,0.323,429,672,0.638,367.0,1045,341,238,83,530.0,473.0,2000,False
6,Albany (NY),28,11,17,0.393,-15.51,-9.59,,,,,7,4,,4,12,,1828,1920,,1125,663,1545,0.429,236,649,0.364,266,385,0.691,249.0,859,402,234,111,468.0,493.0,2000,False
7,Alcorn State,29,19,10,0.655,-9.89,-11.6,,15,3,,11,0,,6,9,,2161,2037,,,767,1727,0.444,135,455,0.297,458,654,0.7,460.0,1177,410,300,71,549.0,555.0,2000,False
8,American,29,11,18,0.379,-6.13,-3.42,,5,11,,9,4,,1,13,,1904,1962,,1185,714,1778,0.402,118,411,0.287,358,566,0.633,419.0,1103,376,274,118,476.0,561.0,2000,False
9,Appalachian State NCAA,32,23,9,0.719,2.49,-3.75,,13,3,,11,0,,9,7,,2530,2228,,1285,915,1882,0.486,200,515,0.388,500,705,0.709,374.0,1151,534,325,127,506.0,627.0,2000,True
10,Arizona NCAA,34,27,7,0.794,18.96,9.7,,15,3,,16,1,,7,4,,2599,2284,,1365,904,1976,0.457,155,482,0.322,636,871,0.73,412.0,1306,537,255,192,510.0,496.0,2000,True
11,Arizona State,32,19,13,0.594,12.11,8.75,,10,8,,14,3,,5,8,,2539,2395,,1305,924,2127,0.434,162,481,0.337,529,726,0.729,503.0,1236,516,274,87,485.0,776.0,2000,False
12,Arkansas NCAA,34,19,15,0.559,12.37,7.76,,7,9,,11,6,,2,7,,2529,2372,,,931,2168,0.429,292,832,0.351,375,622,0.603,451.0,1159,458,379,120,494.0,705.0,2000,True
13,Arkansas State,28,10,18,0.357,-4.73,-0.48,,7,9,,6,6,,3,10,,2004,2123,,1130,714,1637,0.436,191,569,0.336,385,547,0.704,307.0,951,423,215,66,426.0,552.0,2000,False
14,Arkansas-Pine Bluff,27,6,21,0.222,-24.28,-10.04,,5,13,,4,7,,2,14,,1828,2164,,,667,1568,0.425,95,359,0.265,399,667,0.598,353.0,1042,327,277,91,591.0,534.0,2000,False
15,Army,28,5,23,0.179,-19.89,-6.43,,2,10,,4,9,,1,13,,1482,1796,,1125,536,1476,0.363,132,429,0.308,278,449,0.619,307.0,903,266,222,62,516.0,600.0,2000,False
16,Auburn NCAA,34,24,10,0.706,13.59,8.2,,9,7,,14,1,,3,6,,2423,2188,,1370,874,2118,0.413,227,695,0.327,448,684,0.655,533.0,1335,438,247,110,450.0,582.0,2000,True
17,Austin Peay,28,18,10,0.643,0.94,-3.29,,11,7,,10,4,,7,6,,2110,1949,,1150,797,1618,0.493,160,438,0.365,356,492,0.724,326.0,994,426,175,106,396.0,448.0,2000,False
18,Ball State NCAA,31,22,9,0.71,7.84,3.17,,11,7,,14,1,,4,7,,2300,2138,,1285,834,1840,0.453,215,538,0.4,417,681,0.612,398.0,1138,428,258,131,420.0,530.0,2000,True
19,Baylor,29,14,15,0.483,2.2,4.59,,4,12,,12,7,,1,7,,1933,1966,,1170,686,1622,0.423,207,639,0.324,354,550,0.644,332.0,1034,429,257,129,496.0,492.0,2000,False
20,Belmont,28,7,21,0.25,-10.98,-1.39,,,,,6,9,,1,12,,1923,2107,,,633,1521,0.416,273,776,0.352,384,539,0.712,291.0,919,412,154,46,429.0,538.0,2000,False
21,Bethune-Cookman,29,14,15,0.483,-8.85,-9.63,,12,6,,7,2,,5,12,,2186,2178,,,773,1775,0.435,182,506,0.36,458,686,0.668,372.0,1073,397,242,65,497.0,676.0,2000,False
22,Boise State,27,12,15,0.444,0.54,0.5,,6,10,,7,7,,5,8,,1680,1679,,1085,597,1348,0.443,129,368,0.351,357,549,0.65,296.0,809,291,211,55,476.0,537.0,2000,False
23,Boston College,30,11,19,0.367,4.21,5.07,,3,13,,7,8,,1,9,,2049,2075,,1200,725,1770,0.41,165,547,0.302,434,610,0.711,415.0,1069,348,279,103,492.0,566.0,2000,False
24,Boston University,29,7,22,0.241,-14.27,-6.51,,5,13,,3,7,,3,11,,1758,1987,,1185,627,1524,0.411,172,497,0.346,332,483,0.687,297.0,952,358,185,65,449.0,558.0,2000,False
25,Bowling Green State,30,22,8,0.733,3.34,0.79,,14,4,,12,0,,9,7,,2251,2115,,1210,777,1578,0.492,147,403,0.365,550,740,0.743,252.0,963,466,200,56,436.0,532.0,2000,False
26,Bradley,30,14,16,0.467,5.25,3.88,,10,8,,12,2,,2,10,,1968,1927,,1220,721,1669,0.432,108,361,0.299,418,636,0.657,388.0,1066,400,259,87,452.0,602.0,2000,False
27,Brigham Young,33,22,11,0.667,9.54,3.54,,7,7,,14,2,,6,9,,2328,2107,,1325,795,1725,0.461,192,515,0.373,546,784,0.696,300.0,1118,478,236,73,455.0,640.0,2000,False
28,Brown,27,8,19,0.296,-15.14,-8.95,,4,10,,6,7,,2,12,,1837,2004,,1100,629,1537,0.409,156,485,0.322,423,615,0.688,321.0,937,383,195,57,425.0,582.0,2000,False
29,Bucknell,28,17,11,0.607,-5.5,-6.76,,8,4,,8,5,,7,5,,1790,1719,,,634,1419,0.447,111,346,0.321,411,580,0.709,297.0,983,385,190,131,488.0,545.0,2000,False
30,Buffalo,28,5,23,0.179,-14.0,1.46,,3,15,,4,9,,1,13,,1878,2311,,1130,636,1614,0.394,170,544,0.313,436,661,0.66,332.0,1000,356,197,117,523.0,524.0,2000,False
31,Butler NCAA,31,23,8,0.742,12.23,0.01,,12,2,,13,0,,6,7,,2107,1728,,1250,753,1599,0.471,153,406,0.377,448,680,0.659,322.0,1054,430,237,88,391.0,513.0,2000,True
32,Cal Poly,28,10,18,0.357,-5.59,-0.11,,5,11,,7,9,,3,9,,2189,2280,,1125,739,1655,0.447,227,615,0.369,484,671,0.721,315.0,966,383,150,74,405.0,503.0,2000,False
33,Cal State Fullerton,27,8,19,0.296,-9.37,-1.21,,3,13,,6,7,,2,12,,1940,2104,,1080,700,1554,0.45,163,472,0.345,377,535,0.705,282.0,884,349,165,71,399.0,495.0,2000,False
34,Cal State Northridge,30,20,10,0.667,4.07,0.41,,10,6,,12,1,,7,8,,2329,2208,,1215,858,1812,0.474,202,563,0.359,411,651,0.631,379.0,1110,550,277,94,468.0,678.0,2000,False
35,California,33,18,15,0.545,9.65,8.62,,7,11,,11,6,,4,8,,2375,2341,,1335,850,1926,0.441,180,528,0.341,495,726,0.682,416.0,1175,469,235,89,491.0,596.0,2000,False
36,Campbell,28,12,16,0.429,-13.19,-6.08,,10,8,,6,7,,6,7,,1760,1959,,1120,629,1450,0.434,212,590,0.359,290,416,0.697,266.0,876,404,168,80,421.0,459.0,2000,False
37,Canisius,30,10,20,0.333,-8.87,-3.81,,8,10,,8,4,,1,12,,2189,2341,,1230,783,1817,0.431,173,507,0.341,450,648,0.694,415.0,1135,477,211,103,505.0,618.0,2000,False
38,Centenary (LA),28,10,18,0.357,-9.88,-1.61,,,,,7,2,,3,14,,1780,1924,,1130,618,1511,0.409,153,437,0.35,391,580,0.674,,1000,280,152,51,442.0,587.0,2000,False
39,Central Connecticut State NCAA,31,25,6,0.806,0.42,-9.55,,15,3,,13,1,,7,4,,2282,1973,,1250,832,1845,0.451,148,416,0.356,470,665,0.707,443.0,1262,451,276,156,479.0,554.0,2000,True
40,Central Michigan,29,6,23,0.207,-4.64,2.79,,2,16,,4,9,,2,13,,1985,2175,,1165,718,1635,0.439,190,526,0.361,359,526,0.683,279.0,913,419,178,46,408.0,595.0,2000,False
41,Charleston Southern,29,8,21,0.276,-18.67,-7.1,,3,11,,6,8,,1,12,,1883,2153,,1170,660,1568,0.421,79,320,0.247,484,768,0.63,400.0,1040,303,260,114,649.0,662.0,2000,False
42,Charlotte,33,17,16,0.515,10.98,8.59,,7,9,,9,3,,5,9,,2246,2167,,,797,1986,0.401,266,810,0.328,386,547,0.706,456.0,1344,430,221,78,,,2000,False
43,Chattanooga,29,10,19,0.345,-8.02,-4.64,,6,10,,7,7,,2,8,,2018,2102,,1170,717,1609,0.446,203,540,0.376,381,610,0.625,374.0,1023,406,190,89,459.0,487.0,2000,False
44,Chicago State,28,10,18,0.357,-10.64,-3.04,,7,9,,7,5,,3,12,,1832,2029,,1125,678,1633,0.415,139,442,0.314,337,527,0.639,387.0,1011,392,187,99,436.0,482.0,2000,False
45,Cincinnati NCAA,33,29,4,0.879,24.62,8.5,,16,0,,13,1,,10,1,,2560,2028,,1320,898,1871,0.48,165,459,0.359,599,854,0.701,405.0,1277,513,236,223,448.0,566.0,2000,True
46,Clemson,30,10,20,0.333,1.83,7.39,,4,12,,7,9,,2,8,,1933,2100,,1200,680,1682,0.404,189,570,0.332,384,572,0.671,396.0,1173,389,146,93,462.0,614.0,2000,False
47,Cleveland State,30,16,14,0.533,3.19,-0.16,,9,5,,9,5,,7,7,,2265,2165,,1215,793,1828,0.434,172,495,0.347,508,731,0.695,454.0,1122,358,265,83,488.0,689.0,2000,False
48,Coastal Carolina,28,10,18,0.357,-11.71,-6.64,,7,7,,6,5,,4,12,,1924,2109,,1120,648,1528,0.424,224,551,0.407,404,580,0.697,328.0,871,308,214,45,492.0,574.0,2000,False
49,Colgate,29,13,16,0.448,-11.22,-7.85,,4,8,,6,6,,5,8,,1848,1900,,,673,1611,0.418,112,378,0.296,390,591,0.66,372.0,1062,353,225,85,478.0,550.0,2000,False
50,College of Charleston,30,24,6,0.8,1.0,-7.04,,13,3,,15,1,,7,2,,2035,1759,,1205,746,1588,0.47,111,333,0.333,432,657,0.658,348.0,1095,428,218,180,416.0,478.0,2000,False
51,Colorado,32,18,14,0.563,8.58,6.32,,7,9,,13,3,,2,10,,2407,2299,,1290,844,1979,0.426,154,454,0.339,565,824,0.686,472.0,1288,476,275,116,455.0,615.0,2000,False
52,Colorado State,30,18,12,0.6,8.24,3.48,,8,6,,9,4,,6,6,,2105,1924,,1200,720,1509,0.477,255,579,0.44,410,583,0.703,267.0,925,430,193,133,427.0,537.0,2000,False
53,Columbia,27,13,14,0.481,-11.79,-8.25,,7,7,,6,5,,5,7,,1598,1654,,1085,542,1254,0.432,198,526,0.376,316,455,0.695,194.0,873,359,155,90,,,2000,False
54,Connecticut NCAA,35,25,10,0.714,16.93,7.58,,10,6,,13,3,,6,5,,2611,2284,,1400,956,2071,0.462,184,477,0.386,515,707,0.728,506.0,1373,529,230,179,495.0,596.0,2000,True
55,Coppin State,30,15,15,0.5,-10.66,-9.36,,13,5,,6,5,,7,9,,2017,2056,,1225,691,1693,0.408,177,514,0.344,458,652,0.702,357.0,1026,320,226,122,448.0,543.0,2000,False
56,Cornell,27,10,17,0.37,-13.94,-9.13,,3,11,,5,7,,4,9,,1763,1852,,1110,611,1522,0.401,162,476,0.34,379,571,0.664,353.0,1024,318,200,55,417.0,512.0,2000,False
57,Creighton NCAA,33,23,10,0.697,8.28,1.64,,11,7,,11,3,,7,6,,2410,2191,,1335,819,1717,0.477,289,694,0.416,483,671,0.72,315.0,1084,510,262,77,484.0,605.0,2000,True
58,Dartmouth,27,9,18,0.333,-14.72,-8.49,,5,9,,6,5,,2,13,,1792,1939,,1090,626,1544,0.405,211,656,0.322,329,492,0.669,281.0,908,395,186,67,362.0,499.0,2000,False
59,Davidson,28,15,13,0.536,-2.73,-2.69,,10,6,,10,3,,4,9,,2068,1973,,1125,730,1651,0.442,193,592,0.326,415,584,0.711,329.0,1027,448,223,71,456.0,616.0,2000,False
60,Dayton NCAA,31,22,9,0.71,9.95,3.46,,11,5,,13,2,,7,5,,2214,2013,,1245,752,1735,0.433,218,590,0.369,492,690,0.713,447.0,1153,412,215,70,429.0,559.0,2000,True
61,Delaware,32,24,8,0.75,-0.12,-7.75,,14,4,,14,2,,7,6,,2447,2203,,1285,841,1823,0.461,243,669,0.363,522,693,0.753,301.0,1119,474,264,176,467.0,563.0,2000,False
62,Delaware State,28,6,22,0.214,-17.72,-11.25,,5,13,,4,8,,2,12,,1758,1939,,1150,646,1498,0.431,169,457,0.37,297,435,0.683,318.0,983,359,176,56,521.0,488.0,2000,False
63,Denver,28,6,22,0.214,-12.18,-1.14,,3,13,,5,9,,1,12,,1850,2159,,1120,640,1734,0.369,204,650,0.314,366,566,0.647,377.0,999,372,148,78,398.0,512.0,2000,False
64,DePaul NCAA,33,21,12,0.636,14.67,7.82,,9,7,,12,4,,7,5,,2387,2123,,1335,877,1935,0.453,195,563,0.346,438,655,0.669,518.0,1302,494,267,126,538.0,597.0,2000,True
65,Detroit Mercy,32,20,12,0.625,3.64,0.14,,8,6,,14,0,,5,9,,2229,2064,,1285,779,1732,0.45,228,594,0.384,443,614,0.721,348.0,1085,442,197,94,418.0,554.0,2000,False
66,Drake,29,11,18,0.379,-0.68,0.7,,4,14,,9,5,,1,12,,1803,1843,,1180,621,1529,0.406,166,529,0.314,395,565,0.699,290.0,935,396,212,49,374.0,509.0,2000,False
67,Drexel,30,13,17,0.433,-10.02,-7.12,,9,9,,6,4,,5,11,,1889,1976,,1215,670,1643,0.408,189,529,0.357,360,518,0.695,379.0,1116,336,160,38,430.0,570.0,2000,False
68,Duke NCAA,34,29,5,0.853,25.55,8.88,,15,1,,13,2,,9,0,,2992,2425,,,1045,2172,0.481,284,742,0.383,618,833,0.742,453.0,1313,584,333,191,480.0,552.0,2000,True
69,Duquesne,29,9,20,0.31,-4.57,2.5,,4,12,,7,6,,2,11,,2009,2214,,1160,682,1739,0.392,178,567,0.314,467,687,0.68,392.0,1056,334,177,67,443.0,564.0,2000,False
70,East Carolina,28,10,18,0.357,-5.82,-2.6,,5,11,,7,6,,3,11,,1798,1851,,1125,654,1585,0.413,200,586,0.341,290,461,0.629,355.0,1099,352,98,89,428.0,582.0,2000,False
71,East Tennessee State,29,14,15,0.483,-8.71,-4.97,,8,8,,8,5,,5,9,,2003,2057,,1170,681,1598,0.426,150,415,0.361,491,751,0.654,409.0,1070,334,245,47,496.0,606.0,2000,False
72,Eastern Illinois,29,17,12,0.586,1.79,-1.99,,11,7,,11,2,,6,9,,2336,2157,,1205,860,1824,0.471,206,512,0.402,410,569,0.721,389.0,1110,510,241,92,443.0,536.0,2000,False
73,Eastern Kentucky,27,6,21,0.222,-14.43,-1.71,,2,16,,5,8,,1,13,,1888,2130,,1080,676,1601,0.422,152,503,0.302,384,547,0.702,405.0,1015,370,179,105,516.0,532.0,2000,False
74,Eastern Michigan,28,15,13,0.536,1.45,1.87,,9,9,,10,4,,4,9,,2014,1977,,1155,758,1739,0.436,153,452,0.338,345,537,0.642,410.0,1117,380,226,126,454.0,596.0,2000,False
75,Eastern Washington,27,15,12,0.556,2.26,1.48,,12,4,,10,2,,5,9,,2002,1934,,1080,714,1629,0.438,216,584,0.37,358,526,0.681,345.0,973,433,156,80,365.0,568.0,2000,False
76,Elon,28,13,15,0.464,-11.97,-6.37,,7,7,,11,2,,2,13,,2083,2120,,1130,767,1648,0.465,165,460,0.359,384,555,0.692,359.0,1021,382,258,72,514.0,582.0,2000,False
77,Evansville,30,18,12,0.6,2.68,0.98,,9,9,,12,3,,4,7,,2069,2018,,,721,1594,0.452,155,438,0.354,472,634,0.744,269.0,1005,458,202,59,436.0,506.0,2000,False
78,Fairfield,29,14,15,0.483,-3.2,-2.44,,11,7,,8,2,,5,10,,2222,2244,,1175,752,1782,0.422,157,497,0.316,561,785,0.715,489.0,1196,385,247,70,509.0,570.0,2000,False
79,FDU,28,17,11,0.607,-7.75,-7.97,,13,5,,10,3,,7,7,,1807,1781,,,619,1439,0.43,167,489,0.342,402,634,0.634,365.0,1017,322,210,85,502.0,496.0,2000,False
80,Florida NCAA,37,29,8,0.784,23.48,8.51,,12,4,,14,1,,6,4,,3102,2548,,1500,1104,2299,0.48,266,732,0.363,628,885,0.71,538.0,1452,611,365,141,607.0,750.0,2000,True
81,Florida A&M,31,9,22,0.29,-20.43,-9.43,,7,11,,5,7,,3,10,,1999,2340,,,708,1823,0.388,168,526,0.319,413,713,0.579,443.0,1121,342,273,67,595.0,722.0,2000,False
82,Florida Atlantic,30,2,28,0.067,-23.33,-3.26,,0,18,,1,10,,0,15,,1833,2411,,1200,625,1636,0.382,200,605,0.331,383,539,0.711,339.0,911,345,241,65,593.0,535.0,2000,False
83,Florida International,30,16,14,0.533,-0.45,-2.07,,9,7,,10,8,,6,3,,2167,2079,,1215,787,1794,0.439,175,522,0.335,418,621,0.673,369.0,1108,409,287,138,458.0,536.0,2000,False
84,Florida State,29,12,17,0.414,4.42,10.0,,6,10,,8,5,,3,9,,1874,2036,,1160,656,1591,0.412,175,490,0.357,387,566,0.684,366.0,1075,352,153,120,449.0,483.0,2000,False
85,Fordham,29,14,15,0.483,1.71,2.82,,7,9,,6,5,,6,8,,2189,2221,,,768,1758,0.437,232,638,0.364,421,563,0.748,357.0,1068,453,257,93,479.0,643.0,2000,False
86,Fresno State NCAA,34,24,10,0.706,9.17,3.58,,11,3,,15,4,,7,4,,2799,2609,,,1021,2167,0.471,279,794,0.351,478,680,0.703,422.0,1309,654,282,161,509.0,597.0,2000,True
87,Furman,32,14,18,0.438,-6.39,-5.15,,5,10,,13,7,,1,11,,2252,2190,,,798,1769,0.451,157,504,0.312,499,735,0.679,363.0,1155,449,242,68,,606.0,2000,False
88,George Mason,30,19,11,0.633,1.0,-2.37,,12,4,,12,1,,6,8,,2134,2033,,1220,764,1683,0.454,176,510,0.345,430,656,0.655,346.0,1023,435,235,110,421.0,521.0,2000,False
89,George Washington,30,15,15,0.5,4.55,5.41,,9,7,,8,4,,4,8,,2417,2443,,,818,1998,0.409,179,635,0.282,602,881,0.683,501.0,1132,388,262,87,399.0,669.0,2000,False
90,Georgetown,34,19,15,0.559,6.63,5.78,,6,10,,13,3,,3,9,,2369,2318,,1380,839,2132,0.394,153,521,0.294,538,822,0.655,589.0,1498,448,318,226,615.0,688.0,2000,False
91,Georgia,30,10,20,0.333,5.21,8.71,,3,13,,7,7,,1,10,,2147,2252,,,792,1716,0.462,145,423,0.343,418,641,0.652,406.0,1174,453,164,98,554.0,501.0,2000,False
92,Georgia Southern,28,16,12,0.571,-7.93,-5.45,,10,6,,10,2,,6,9,,2158,2209,,1125,795,1763,0.451,186,530,0.351,382,556,0.687,402.0,977,451,247,73,432.0,565.0,2000,False
93,Georgia State,29,17,12,0.586,-2.76,-6.1,,13,5,,9,5,,7,6,,2082,1985,,,755,1656,0.456,188,506,0.372,384,579,0.663,346.0,989,352,254,125,398.0,530.0,2000,False
94,Georgia Tech,30,13,17,0.433,6.23,7.0,,5,11,,11,5,,0,9,,2119,2142,,1210,725,1778,0.408,242,705,0.343,427,625,0.683,410.0,1167,456,196,147,509.0,516.0,2000,False
95,Gonzaga NCAA,35,26,9,0.743,16.38,4.64,,11,3,,11,1,,8,2,,2719,2310,,1410,965,2014,0.479,260,715,0.364,529,795,0.665,409.0,1325,587,202,150,469.0,651.0,2000,True
96,Grambling,31,1,30,0.032,-27.91,-9.16,,0,18,,1,10,,0,17,,2251,2820,,1240,817,2006,0.407,180,604,0.298,437,671,0.651,469.0,1148,405,268,62,594.0,746.0,2000,False
97,Green Bay,30,14,16,0.467,0.64,1.84,,6,8,,11,3,,1,11,,1699,1735,,,610,1438,0.424,146,428,0.341,333,477,0.698,275.0,891,357,165,60,395.0,515.0,2000,False
98,Hampton,29,17,12,0.586,-8.51,-11.61,,13,5,,7,5,,9,6,,2165,2075,,1175,765,1708,0.448,201,563,0.357,434,671,0.647,371.0,1109,412,231,149,489.0,538.0,2000,False
99,Hartford,29,10,19,0.345,-14.53,-7.42,,6,12,,6,6,,3,11,,2073,2279,,1175,723,1768,0.409,146,461,0.317,481,722,0.666,415.0,1121,362,265,106,546.0,653.0,2000,False
100,Harvard,27,12,15,0.444,-12.75,-9.75,,7,7,,6,7,,6,8,,1780,1829,,1080,660,1582,0.417,178,486,0.366,282,438,0.644,343.0,935,429,233,43,424.0,517.0,2000,False
101,Hawaii,29,17,12,0.586,5.09,2.23,,5,9,,15,4,,1,8,,2210,2127,,1175,818,1696,0.482,131,364,0.36,443,627,0.707,369.0,1066,516,201,107,528.0,576.0,2000,False
102,High Point,28,11,17,0.393,-15.35,-6.07,,5,9,,8,3,,2,13,,1900,2049,,,671,1489,0.451,125,388,0.322,433,651,0.665,288.0,954,361,271,60,551.0,486.0,2000,False
103,Hofstra NCAA,31,24,7,0.774,5.23,-6.03,,16,2,,12,0,,8,6,,2307,1958,,1240,827,1813,0.456,225,627,0.359,428,623,0.687,390.0,1125,435,270,121,415.0,565.0,2000,True
104,Holy Cross,28,10,18,0.357,-11.35,-7.96,,3,9,,4,8,,5,7,,1677,1772,,1120,539,1330,0.405,140,407,0.344,459,756,0.607,352.0,1053,317,183,105,556.0,555.0,2000,False
105,Houston,31,9,22,0.29,1.94,6.44,,2,14,,4,9,,2,10,,2363,2476,,1245,834,1910,0.437,157,471,0.333,538,775,0.694,401.0,1157,407,254,80,504.0,660.0,2000,False
